id_abonne,ville,age,abonnement,duree_utilisation_mois,montant
89,Marrakech,35,Standard,51,715.21
90,Oujda,73,Basic,55,496.16
91,Marrakech,70,Famille,23,338.93
92,Marrakech,32,Basic,43,232.47
93,Tanger,35,Basic,50,314.17
94,Kenitra,43,Premium,2,158.57
95,Agadir,29,Premium,3,151.98
96,Oujda,40,Premium,28,624.9
97,Kenitra,25,Famille,58,596.76
98,Agadir,20,Famille,1,542.92
99,Kenitra,61,Standard,24,458.73
100,Tanger,57,Premium,43,854.61
101,Agadir,50,Premium,43,436.97
102,Oujda,62,Premium,36,169.92
103,Oujda,60,Famille,44,759.73
104,Fes,57,Premium,26,569.54
105,Casablanca,37,Premium,14,457.39
106,Meknes,56,Premium,30,468.7
107,Marrakech,50,Famille,51,905.12
108,Fes,60,Basic,19,538.68
109,Meknes,39,Basic,53,953.4
110,Marrakech,61,Premium,15,815.23
111,Fes,19,Basic,16,983.74
112,Meknes,72,Basic,30,442.72
113,Meknes,30,Famille,32,428.67
114,Fes,59,Basic,58,762.42
115,Rabat,67,Famille,15,216.09
116,Kenitra,47,Basic,36,285.74
117,Rabat,47,Standard,52,490.41
118,Kenitra,53,Premium,49,895.85
119,Meknes,70,Famille,54,910.51
120,Tetouan,75,Standard,48,867.42
121,Tetouan,34,Standard,54,654.78
122,Kenitra,49,Standard,18,466.88
123,Agadir,33,Premium,22,352.72
124,Kenitra,23,Standard,10,268.7
125,Fes,63,Standard,5,443.12
126,Tanger,52,Famille,27,108.15
127,Oujda,42,Basic,55,885.62
128,Meknes,42,Famille,1,944.6
129,Agadir,66,Famille,55,896.06
130,Oujda,52,Standard,32,257.45
131,Oujda,49,Basic,25,368.32
132,Oujda,64,Standard,54,493.02
133,Fes,57,Basic,59,423.32
134,Meknes,60,Basic,6,659.61
135,Fes,73,Famille,12,96.77
136,Oujda,38,Standard,30,359.5
137,Oujda,35,Famille,17,842.17
138,Tetouan,19,Basic,23,262.01
139,Rabat,67,Basic,49,78.48
140,Marrakech,30,Basic,40,193.76
141,Fes,48,Basic,37,949.37
142,Tetouan,62,Premium,50,399.45
143,Meknes,56,Basic,50,827.34
144,Agadir,24,Basic,60,345.36
145,Oujda,43,Standard,5,611.49
146,Marrakech,24,Premium,55,699.05
147,Rabat,68,Basic,23,555.11
148,Tanger,22,Premium,1,856.1
149,Tetouan,24,Famille,24,652.81
150,Tetouan,63,Standard,28,216.33
151,Kenitra,59,Premium,40,816.79
152,Kenitra,67,Famille,30,462.8
153,Meknes,35,Premium,55,282.22
154,Rabat,35,Famille,16,761.95
155,Meknes,57,Famille,22,76.26
156,Tanger,29,Famille,14,386.08
157,Agadir,39,Premium,57,615.35
158,Agadir,53,Basic,34,949.66
159,Rabat,33,Famille,32,576.42
160,Marrakech,62,Famille,42,725.25
161,Tetouan,68,Basic,6,328.52
162,Oujda,62,Standard,20,679.76
163,Tanger,48,Premium,28,995.8
164,Kenitra,39,Premium,45,480.06
165,Agadir,34,Standard,8,734.22
166,Tanger,25,Standard,13,254.57
167,Tetouan,35,Premium,7,840.0
168,Agadir,32,Premium,12,336.15
169,Kenitra,26,Premium,3,974.58
170,Kenitra,36,Standard,41,874.04
171,Tetouan,24,Basic,37,319.12
172,Tetouan,46,Premium,12,966.22
173,Agadir,73,Famille,8,830.01
174,Oujda,49,Basic,37,646.97
175,Casablanca,27,Standard,52,583.7
176,Agadir,23,Standard,8,579.17
177,Oujda,56,Standard,50,545.44
178,Tetouan,46,Premium,56,608.1
179,Oujda,37,Basic,40,961.1
180,Rabat,66,Standard,41,249.47
181,Rabat,28,Standard,12,573.39
182,Fes,18,Famille,29,703.9
183,Tetouan,36,Basic,15,322.7
184,Agadir,62,Famille,5,702.02
185,Agadir,68,Standard,28,158.04
186,Marrakech,59,Standard,59,301.35
187,Fes,22,Basic,11,802.0
188,Meknes,65,Premium,29,167.14
189,Agadir,62,Famille,18,524.45
190,Tetouan,46,Basic,39,86.87
191,Oujda,65,Premium,39,286.85
192,Rabat,32,Basic,49,687.67
193,Agadir,54,Basic,49,767.46
194,Tetouan,51,Famille,59,313.25
195,Meknes,45,Famille,6,495.51
196,Oujda,39,Premium,43,148.37
197,Fes,39,Famille,45,519.7
198,Oujda,70,Basic,30,132.66
199,Agadir,38,Basic,50,432.97
200,Kenitra,70,Basic,43,874.9
201,Tetouan,44,Basic,13,541.52
202,Meknes,66,Famille,41,468.94
203,Casablanca,31,Premium,36,173.46
204,Agadir,46,Famille,8,76.43
205,Meknes,69,Standard,46,199.46
206,Kenitra,18,Famille,6,262.47
207,Rabat,47,Basic,42,839.54
208,Tetouan,63,Premium,33,719.14
209,Oujda,71,Famille,31,280.54
210,Kenitra,27,Famille,13,924.77
211,Kenitra,65,Standard,56,115.32
212,Oujda,39,Premium,53,51.44
213,Agadir,71,Famille,56,190.17
214,Kenitra,48,Premium,22,573.32
215,Kenitra,42,Famille,60,354.69
216,Marrakech,62,Standard,37,412.82
217,Oujda,20,Premium,48,498.33
218,Oujda,42,Standard,32,965.58
219,Fes,50,Premium,56,144.35
220,Tetouan,24,Famille,1,735.32
221,Oujda,73,Standard,5,495.02
222,Agadir,39,Famille,42,125.3
223,Tanger,72,Famille,21,644.46
224,Tetouan,73,Basic,40,114.0
225,Agadir,32,Basic,28,978.42
226,Rabat,46,Standard,45,333.49
227,Casablanca,20,Premium,51,102.31
228,Tanger,41,Famille,10,280.99
229,Oujda,54,Standard,11,215.32
230,Meknes,73,Famille,40,697.98
231,Tetouan,55,Standard,15,487.09
232,Agadir,47,Premium,43,57.93
233,Tetouan,75,Premium,44,568.27
234,Rabat,46,Premium,38,333.2
235,Oujda,62,Premium,30,852.04
236,Marrakech,42,Famille,7,274.35
237,Meknes,40,Premium,45,329.47
238,Oujda,35,Basic,37,870.81
239,Casablanca,56,Famille,54,907.95
240,Agadir,67,Standard,39,810.84
241,Marrakech,58,Standard,40,287.1
242,Fes,58,Basic,58,645.09
243,Casablanca,37,Famille,3,599.6
244,Fes,23,Premium,21,759.11
245,Fes,30,Standard,51,561.44
246,Tanger,51,Premium,54,205.32
247,Tetouan,69,Premium,48,875.88
248,Rabat,47,Basic,10,765.44
249,Marrakech,73,Famille,55,813.36
250,Tanger,23,Famille,1,300.24
251,Rabat,47,Premium,44,760.56
252,Agadir,55,Famille,53,655.62
253,Tanger,24,Standard,31,72.77
254,Kenitra,38,Standard,42,109.06
255,Tetouan,62,Premium,42,436.88
256,Fes,20,Basic,20,995.13
257,Rabat,24,Standard,57,559.67
258,Oujda,47,Premium,43,950.91
259,Kenitra,44,Standard,57,443.14
260,Rabat,71,Famille,40,436.71
261,Agadir,20,Premium,14,470.21
262,Marrakech,72,Premium,7,980.88
263,Tanger,52,Premium,4,427.23
264,Marrakech,25,Famille,6,678.63
265,Meknes,19,Basic,51,365.83
266,Fes,68,Standard,5,837.33
267,Kenitra,31,Standard,53,875.21
268,Tanger,67,Standard,51,904.5
269,Casablanca,35,Standard,9,562.2
270,Fes,25,Basic,9,63.12
271,Marrakech,55,Premium,2,214.53
272,Casablanca,26,Famille,34,156.97
273,Rabat,48,Famille,50,392.94
274,Meknes,24,Famille,33,259.47
275,Meknes,20,Premium,30,660.17
276,Casablanca,21,Famille,55,430.54
277,Rabat,49,Famille,5,903.3
278,Tanger,56,Standard,5,168.88
279,Meknes,58,Premium,25,993.9
280,Kenitra,36,Famille,33,624.16
281,Rabat,68,Basic,55,670.98
282,Kenitra,64,Standard,28,477.98
283,Marrakech,44,Premium,53,479.82
284,Oujda,64,Basic,21,454.43
285,Agadir,41,Standard,44,925.84
286,Rabat,23,Basic,6,459.28
287,Tanger,69,Standard,36,105.98
288,Kenitra,53,Premium,43,165.12
289,Tanger,73,Famille,56,919.05
290,Casablanca,36,Premium,23,147.42
291,Kenitra,31,Standard,43,507.08
292,Rabat,40,Premium,8,773.48
293,Meknes,32,Famille,55,581.92
294,Meknes,57,Basic,39,931.63
295,Agadir,19,Standard,18,716.56
296,Agadir,39,Premium,1,221.34
297,Fes,54,Famille,5,183.78
298,Casablanca,23,Standard,25,447.84
299,Tanger,28,Premium,20,734.52
300,Meknes,56,Basic,57,98.98
301,Fes,66,Basic,44,126.5
302,Tetouan,60,Famille,32,625.72
303,Oujda,35,Standard,49,535.73
304,Tanger,45,Basic,19,693.31
305,Meknes,49,Premium,3,258.49
306,Meknes,21,Basic,14,335.35
307,Marrakech,67,Standard,49,291.74
308,Tanger,25,Basic,32,758.66
309,Fes,26,Famille,35,717.49
310,Kenitra,53,Premium,5,426.22
311,Casablanca,45,Basic,30,924.1
312,Tanger,54,Famille,37,433.2
313,Oujda,36,Basic,26,68.81
314,Tanger,28,Famille,54,704.13
315,Tanger,23,Famille,55,149.57
316,Oujda,55,Famille,34,123.71
317,Agadir,65,Premium,15,365.42
318,Fes,22,Basic,34,533.45
319,Tanger,40,Standard,16,146.66
320,Agadir,30,Standard,39,194.23
321,Rabat,29,Famille,30,765.72
322,Meknes,46,Premium,56,971.42
323,Tanger,27,Famille,5,494.48
324,Agadir,68,Premium,38,102.36
325,Kenitra,22,Premium,30,478.32
326,Casablanca,41,Premium,5,661.43
327,Rabat,57,Famille,30,600.31
328,Casablanca,46,Standard,21,623.76
329,Kenitra,27,Basic,29,147.33
330,Tanger,63,Basic,33,662.82
331,Casablanca,33,Famille,29,546.87
332,Meknes,28,Premium,24,921.04
333,Oujda,44,Premium,44,616.99
334,Tanger,22,Premium,7,579.07
335,Oujda,36,Premium,47,857.99
336,Meknes,73,Standard,22,126.43
337,Fes,40,Premium,42,712.56
338,Oujda,26,Basic,20,579.98
339,Tanger,70,Standard,43,716.69
340,Kenitra,23,Famille,33,392.74
341,Tanger,37,Standard,14,373.65
342,Tetouan,30,Standard,9,196.2
343,Agadir,72,Basic,33,781.33
344,Kenitra,20,Premium,57,776.99
345,Fes,56,Famille,10,203.13
346,Meknes,69,Standard,47,464.79
347,Oujda,41,Standard,29,629.07
348,Tetouan,32,Standard,20,966.32
349,Tetouan,75,Standard,24,693.39
350,Meknes,46,Famille,50,316.68
351,Oujda,50,Famille,11,825.05
352,Meknes,26,Premium,4,658.12
353,Tanger,53,Basic,46,852.6
354,Rabat,36,Basic,49,201.3
355,Tetouan,75,Standard,54,464.6
356,Marrakech,70,Famille,57,381.11
357,Casablanca,44,Basic,26,525.91
358,Marrakech,42,Basic,24,262.31
359,Tanger,24,Premium,51,187.75
360,Casablanca,36,Famille,45,838.55
361,Tetouan,46,Basic,58,124.26
362,Agadir,31,Standard,36,942.21
363,Meknes,51,Famille,8,786.36
364,Marrakech,37,Basic,4,275.52
365,Meknes,47,Basic,8,843.85
366,Tetouan,56,Basic,41,538.61
367,Marrakech,63,Standard,19,456.78
368,Meknes,40,Standard,37,444.74
369,Rabat,51,Premium,5,954.73
370,Kenitra,50,Basic,25,878.66
371,Casablanca,58,Famille,24,289.97
372,Casablanca,40,Basic,23,278.07
373,Rabat,67,Premium,9,91.12
374,Kenitra,39,Standard,54,789.19
375,Tetouan,62,Famille,41,222.16
376,Fes,22,Famille,3,327.77
377,Casablanca,68,Standard,57,88.81
378,Agadir,50,Famille,53,564.88
379,Agadir,20,Standard,19,388.13
380,Casablanca,73,Premium,18,167.25
381,Tanger,45,Famille,48,466.75
382,Oujda,39,Standard,32,706.47
383,Tanger,69,Premium,52,127.48
384,Oujda,23,Famille,39,994.34
385,Fes,52,Premium,21,146.47
386,Tanger,60,Premium,20,472.62
387,Oujda,28,Famille,23,473.77
388,Tanger,57,Famille,18,656.5
389,Casablanca,22,Famille,24,536.43
390,Fes,19,Standard,55,626.19
391,Tetouan,20,Standard,5,273.2
392,Tanger,41,Famille,37,79.77
393,Fes,61,Famille,24,402.41
394,Rabat,54,Standard,34,397.6
395,Tanger,59,Premium,16,961.49
396,Casablanca,65,Standard,32,540.86
397,Kenitra,25,Premium,50,296.28
398,Tetouan,31,Premium,45,919.65
399,Tetouan,30,Basic,9,859.18
400,Tetouan,29,Famille,6,818.99
401,Tanger,60,Premium,46,110.69
402,Kenitra,36,Premium,55,198.63
403,Fes,68,Premium,33,262.03
404,Marrakech,68,Standard,16,799.85
405,Casablanca,41,Premium,30,812.48
406,Kenitra,26,Basic,5,342.83
407,Tetouan,51,Famille,50,437.96
408,Meknes,22,Standard,21,659.22
409,Tetouan,47,Premium,9,883.06
410,Kenitra,58,Standard,50,966.95
411,Oujda,50,Basic,54,166.95
412,Fes,37,Standard,11,355.53
413,Marrakech,40,Premium,55,123.92
414,Marrakech,58,Premium,9,642.77
415,Meknes,52,Basic,33,657.94
416,Meknes,55,Standard,11,674.8
417,Meknes,39,Basic,53,869.59
418,Rabat,20,Premium,42,249.27
419,Meknes,44,Basic,32,893.55
420,Kenitra,36,Premium,31,281.63
421,Oujda,37,Famille,5,703.18
422,Fes,46,Famille,31,490.22
423,Tanger,56,Standard,21,867.41
424,Tanger,64,Premium,26,173.23
425,Tanger,50,Basic,21,278.65
426,Rabat,35,Famille,16,182.83
427,Casablanca,36,Famille,56,633.61
428,Marrakech,73,Standard,53,360.06
429,Meknes,64,Premium,13,773.97
430,Tetouan,50,Famille,32,884.12
431,Tetouan,19,Basic,26,529.17
432,Marrakech,31,Premium,4,97.01
433,Tetouan,56,Famille,19,558.86
434,Rabat,45,Standard,57,300.25
435,Tanger,66,Famille,24,91.98
436,Casablanca,54,Standard,24,574.56
437,Rabat,42,Famille,49,571.36
438,Meknes,61,Basic,9,975.33
439,Oujda,41,Premium,36,941.0
440,Fes,30,Famille,33,87.24
441,Casablanca,26,Premium,52,499.06
442,Tetouan,27,Standard,21,933.8
443,Tanger,28,Famille,40,751.35
444,Agadir,55,Premium,33,835.87
445,Kenitra,49,Premium,31,823.96
446,Tanger,39,Basic,27,603.52
447,Casablanca,56,Famille,17,967.72
448,Meknes,54,Standard,47,97.79
449,Tetouan,28,Famille,10,829.58
450,Marrakech,20,Basic,13,66.99
451,Tanger,44,Standard,27,704.98
452,Oujda,50,Famille,56,854.96
453,Casablanca,63,Standard,34,245.97
454,Tanger,60,Famille,34,406.98
455,Fes,47,Premium,35,385.57
456,Agadir,57,Famille,13,958.47
457,Agadir,53,Premium,15,943.41
458,Agadir,67,Premium,46,245.91
459,Tetouan,38,Famille,23,581.46
460,Agadir,36,Basic,37,691.79
461,Oujda,75,Famille,53,376.88
462,Fes,36,Basic,19,956.55
463,Rabat,40,Famille,42,292.62
464,Tetouan,31,Standard,53,560.65
465,Kenitra,62,Premium,9,152.77
466,Meknes,33,Standard,4,685.34
467,Kenitra,32,Standard,4,144.19
468,Tanger,63,Famille,7,696.13
469,Fes,18,Standard,27,669.25
470,Tetouan,48,Standard,49,964.72
471,Tanger,36,Basic,59,779.29
472,Meknes,32,Basic,59,924.4
473,Oujda,74,Standard,60,922.65
474,Oujda,68,Famille,12,938.78
475,Agadir,74,Basic,1,332.47
476,Meknes,24,Premium,19,480.63
477,Kenitra,51,Famille,57,940.63
478,Kenitra,47,Premium,13,817.37
479,Tanger,28,Famille,42,293.4
480,Fes,18,Premium,51,329.27
481,Marrakech,29,Famille,53,455.32
482,Tanger,23,Famille,43,139.62
483,Fes,48,Premium,60,284.64
484,Agadir,42,Standard,29,765.07
485,Tanger,37,Basic,17,670.0
486,Marrakech,21,Basic,30,340.47
487,Oujda,61,Premium,45,160.54
488,Agadir,41,Standard,15,958.49
489,Tetouan,27,Famille,48,988.4
490,Tanger,44,Famille,49,559.64
491,Marrakech,66,Standard,44,766.0
492,Rabat,51,Famille,34,717.58
493,Rabat,54,Basic,4,836.34
494,Kenitra,30,Standard,11,360.71
495,Kenitra,46,Basic,44,244.13
496,Meknes,49,Basic,58,533.86
497,Casablanca,47,Standard,33,443.65
498,Meknes,21,Famille,44,815.57
499,Casablanca,43,Premium,53,51.86
500,Marrakech,55,Basic,3,451.51
501,Rabat,52,Basic,60,898.51
502,Tetouan,20,Premium,27,219.98
503,Fes,67,Famille,24,992.21
504,Oujda,46,Famille,25,125.24
505,Kenitra,26,Premium,8,218.55
506,Kenitra,43,Standard,47,978.79
507,Casablanca,66,Basic,20,488.85
508,Kenitra,45,Famille,53,267.18
509,Tetouan,40,Standard,18,228.06
510,Rabat,20,Famille,40,776.75
511,Casablanca,33,Standard,5,144.85
512,Casablanca,46,Basic,16,752.51
513,Oujda,46,Standard,35,255.41
514,Casablanca,26,Premium,15,824.0
515,Meknes,38,Premium,16,335.68
516,Fes,60,Standard,27,334.48
517,Casablanca,53,Standard,41,693.81
518,Kenitra,49,Basic,23,943.51
519,Oujda,68,Premium,45,444.51
520,Fes,37,Famille,12,765.7
521,Tetouan,33,Standard,20,863.66
522,Fes,69,Famille,59,103.74
523,Oujda,44,Standard,25,279.72
524,Marrakech,39,Basic,60,476.3
525,Tanger,23,Standard,4,304.04
526,Meknes,56,Basic,56,118.15
527,Meknes,64,Standard,31,247.44
528,Tanger,37,Basic,14,939.3
529,Rabat,65,Famille,59,279.46
530,Meknes,63,Standard,26,918.37
531,Kenitra,38,Premium,25,491.94
532,Tanger,37,Premium,24,536.18
533,Tetouan,47,Basic,52,981.25
534,Tetouan,66,Premium,59,241.97
535,Tanger,44,Basic,37,869.88
536,Fes,19,Premium,36,937.02
537,Meknes,64,Famille,19,193.79
538,Tanger,32,Famille,37,840.69
539,Tetouan,53,Premium,17,774.19
540,Tetouan,64,Famille,30,208.82
541,Tanger,28,Standard,47,568.22
542,Fes,74,Basic,34,81.13
543,Rabat,70,Basic,49,55.06
544,Fes,71,Standard,5,720.81
545,Casablanca,31,Famille,24,106.43
546,Meknes,48,Famille,2,55.28
547,Kenitra,44,Basic,2,551.95
548,Agadir,52,Premium,2,526.11
549,Oujda,69,Standard,7,921.15
550,Kenitra,27,Standard,13,637.79
551,Agadir,70,Premium,18,804.19
552,Rabat,41,Famille,30,585.75
553,Marrakech,37,Basic,42,991.09
554,Casablanca,23,Famille,25,407.31
555,Tetouan,21,Basic,45,211.81
556,Tetouan,72,Famille,42,794.16
557,Meknes,72,Basic,58,550.75
558,Casablanca,32,Standard,58,873.71
559,Meknes,48,Premium,3,926.95
560,Agadir,75,Basic,12,931.33
561,Tanger,19,Standard,38,185.98
562,Oujda,22,Premium,11,584.76
563,Meknes,71,Famille,44,900.7
564,Tanger,42,Standard,51,988.05
565,Rabat,50,Premium,4,141.8
566,Marrakech,71,Basic,22,623.91
567,Meknes,56,Famille,50,359.06
568,Agadir,68,Famille,32,265.73
569,Kenitra,42,Famille,12,694.71
570,Oujda,23,Premium,52,283.13
571,Rabat,23,Premium,10,410.0
572,Fes,65,Famille,21,391.67
573,Rabat,18,Premium,29,390.92
574,Agadir,24,Standard,6,227.02
575,Tetouan,53,Famille,7,73.95
576,Tanger,53,Basic,39,617.14
577,Tanger,73,Famille,1,326.25
578,Oujda,67,Basic,47,905.08
579,Marrakech,54,Standard,44,410.7
580,Fes,35,Premium,18,517.47
581,Rabat,28,Famille,18,449.05
582,Tetouan,68,Basic,24,288.11
583,Marrakech,64,Famille,39,634.84
584,Tetouan,24,Standard,20,55.43
585,Oujda,39,Famille,52,868.09
586,Tetouan,39,Famille,53,831.36
587,Meknes,26,Premium,21,622.05
588,Marrakech,48,Premium,12,965.35
589,Tanger,36,Famille,37,791.88
590,Tanger,42,Premium,53,795.57
591,Tanger,25,Standard,38,996.4
592,Fes,61,Basic,47,487.54
593,Marrakech,46,Premium,54,707.19
594,Oujda,61,Famille,9,650.67
595,Marrakech,34,Standard,46,450.97
596,Oujda,22,Famille,39,504.27
597,Oujda,52,Famille,35,83.93
598,Tanger,62,Basic,7,779.51
599,Tanger,28,Basic,37,983.43
600,Oujda,66,Premium,51,457.93
601,Casablanca,24,Premium,15,534.14
602,Kenitra,53,Standard,29,404.41
603,Tetouan,67,Standard,23,996.82
604,Tetouan,24,Premium,27,923.52
605,Rabat,25,Standard,23,345.3
606,Tetouan,68,Standard,34,507.78
607,Tetouan,24,Famille,47,710.93
608,Tanger,22,Premium,3,818.68
609,Rabat,19,Premium,42,152.89
610,Fes,65,Standard,34,214.73
611,Fes,39,Famille,30,269.26
612,Oujda,58,Standard,12,657.45
613,Oujda,43,Basic,48,632.4
614,Marrakech,46,Famille,25,53.23
615,Marrakech,31,Premium,49,717.57
616,Rabat,54,Basic,52,877.38
617,Fes,41,Premium,13,483.67
618,Agadir,60,Famille,34,966.62
619,Tanger,56,Famille,40,421.92
620,Rabat,40,Premium,55,483.97
621,Fes,70,Premium,59,632.76
622,Rabat,61,Standard,21,160.97
623,Agadir,25,Standard,24,707.76
624,Kenitra,42,Famille,39,179.97
625,Oujda,45,Standard,32,652.73
626,Fes,53,Standard,32,323.39
627,Fes,38,Famille,40,99.93
628,Tanger,18,Famille,9,234.37
629,Oujda,53,Famille,27,699.46
630,Oujda,63,Famille,32,207.89
631,Meknes,19,Standard,19,80.06
632,Marrakech,52,Premium,11,790.7
633,Meknes,65,Famille,36,534.27
634,Meknes,25,Premium,50,564.95
635,Tanger,52,Basic,49,732.03
636,Kenitra,31,Famille,7,748.19
637,Marrakech,37,Basic,29,298.67
638,Rabat,46,Basic,50,820.29
639,Marrakech,69,Premium,56,724.22
640,Oujda,28,Standard,51,245.29
641,Marrakech,69,Basic,37,382.27
642,Agadir,56,Standard,21,979.05
643,Agadir,36,Premium,55,537.69
644,Rabat,26,Famille,59,105.32
645,Agadir,73,Standard,45,871.77
646,Marrakech,27,Premium,54,284.18
647,Oujda,49,Standard,37,649.78
648,Oujda,42,Famille,5,650.95
649,Rabat,43,Premium,45,938.52
650,Tanger,47,Famille,21,601.86
651,Rabat,64,Famille,41,679.94
652,Tanger,72,Basic,51,556.7
653,Marrakech,45,Standard,32,304.11
654,Agadir,39,Standard,37,858.8
655,Tanger,75,Basic,3,143.6
656,Tetouan,19,Basic,60,863.77
657,Tetouan,47,Basic,28,241.2
658,Fes,74,Premium,11,879.7
659,Agadir,23,Premium,17,127.3
660,Fes,21,Famille,41,339.23
661,Marrakech,45,Basic,46,139.42
662,Marrakech,48,Basic,9,613.0
663,Kenitra,61,Famille,1,56.66
664,Tanger,70,Basic,56,450.2
665,Fes,48,Basic,15,412.92
666,Rabat,24,Premium,24,885.94
667,Fes,42,Standard,42,992.29
668,Fes,22,Basic,40,666.52
669,Tetouan,40,Standard,41,759.86
670,Oujda,57,Famille,56,255.38
671,Rabat,26,Basic,38,742.51
672,Tanger,45,Premium,51,181.84
673,Agadir,59,Basic,16,574.73
674,Meknes,64,Premium,50,943.22
675,Casablanca,72,Premium,14,540.86
676,Kenitra,30,Famille,19,662.86
677,Marrakech,49,Famille,8,278.03
678,Meknes,22,Basic,24,936.23
679,Fes,42,Famille,24,568.04
680,Fes,66,Famille,50,118.34
681,Meknes,22,Basic,17,253.96
682,Casablanca,68,Famille,33,321.16
683,Kenitra,67,Famille,28,715.72
684,Rabat,58,Standard,18,128.42
685,Rabat,50,Standard,52,196.61
686,Tanger,43,Basic,20,712.74
687,Marrakech,21,Standard,6,927.4
688,Rabat,47,Basic,20,681.78
689,Fes,25,Basic,46,179.35
690,Casablanca,28,Famille,23,545.86
691,Agadir,28,Premium,9,761.29
692,Agadir,64,Basic,50,903.9
693,Tanger,69,Famille,18,546.66
694,Agadir,63,Basic,32,481.44
695,Tanger,21,Famille,55,587.54
696,Tanger,28,Premium,50,146.76
697,Meknes,61,Basic,15,752.74
698,Casablanca,20,Basic,16,92.68
699,Tanger,42,Standard,12,933.6
700,Casablanca,53,Famille,15,354.71
701,Oujda,64,Premium,18,833.7
702,Meknes,41,Basic,33,688.66
703,Casablanca,29,Standard,52,538.99
704,Casablanca,43,Basic,57,490.84
705,Agadir,67,Premium,21,131.07
706,Tetouan,18,Premium,13,326.02
707,Agadir,65,Standard,30,398.86
708,Tetouan,67,Standard,47,904.42
709,Marrakech,27,Basic,60,438.53
710,Marrakech,52,Premium,41,846.6
711,Casablanca,39,Basic,49,673.44
712,Agadir,24,Standard,34,982.96
713,Oujda,49,Basic,10,725.07
714,Rabat,20,Standard,58,852.23
715,Oujda,62,Premium,30,974.83
716,Rabat,55,Basic,33,175.84
717,Oujda,22,Basic,28,678.32
718,Fes,33,Premium,17,857.37
719,Oujda,62,Premium,21,479.12
720,Marrakech,22,Standard,9,789.94
721,Meknes,24,Standard,7,205.16
722,Tetouan,38,Famille,8,558.13
723,Marrakech,46,Premium,30,300.76
